Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0461;VITAMINA C (ÁCIDO ASCÓRBICO) - 06148270001;25,17;6,3500;null;;;;;;;;;;;DECIDIDO;;23/03/2026
MP0480;ÓLEO DE ROSA MOSQUETA GRAN OILS / SENSIOIL RMO ÓLEO DE ROSA MOSQUETA/ VM10076;4290,25;4,2300;VM;;Sim;4,2315;18154,01;0,0015;0,03;6,25;;;;DECIDIDO;;23/03/2026
MP0481;EXTRATO DE SALVIA (EXTRATO GLICÓLICO DE SALVIA);35,63;2,1500;BARUQUIMICA;SP;Não;2,1481;76,54;-0,0019;-0,09;-0,07;;;8 dias úteis;DECIDIDO;;23/03/2026
MP0482;PHYTOATTIVE MEL GLIC;35,63;3,6300;KHOL QUIMICA;ES;Não;3,6346;129,50;0,0046;0,13;0,16;5;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;23/03/2026
MP0483;PHYTOATTIVE CAMOMILA GLIC;1,78;4,3000;PHYTOVITAL;SP;Não;4,5000;8,01;0,2000;4,65;0,36;5;;;DECIDIDO;;23/03/2026
MP0484;RICE SILK SN;4610,88;15,1900;AQIA;SP;Sim;17,0700;78707,72;1,8800;12,38;8668,45;10kg;;;DECIDIDO;;23/03/2026
MP0485;LAURILETERSULFATO DE SODIO M /A 27%/ALKOPON N (EXT LESS C27/SS LAC 270) ONU N/C;2410,48;1,1200;KHOL QUIMICA;ES;Não;0,9900;2386,38;-0,1300;-11,61;-313,36;25;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;23/03/2026
MP0487;CARBOPOL 980 / CARBOXIPOLIMETILENO EM PO/CARBOPOL 940 - CARBOMERO 940;354,06;5,9300;MAIAN;SP;Não;5,9276;2098,73;-0,0024;-0,04;-0,85;;imediato;30 a 60 dias;DECIDIDO;;23/03/2026
MP0488;MPG-00117 DC 9040 SILICONE ELASTOMER BLEND - BEYOUNG/ EMSIL EG 905 RU;393,40;15,7200;UNIVAR2;SP;Sim;25,7000;10110,38;9,9800;63,49;3926,13;15;30;60;DECIDIDO;;23/03/2026
MP0490;CARBONATO DE MAGNESIO USP;786,80;7,8600;FOCUS QUÍMICA;SP;Não;6,7000;5271,56;-1,1600;-14,76;-912,69;15;30;30;DECIDIDO;;23/03/2026
