Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0005;TINOGARD TT;2379,15;21,4000;BASF;SP;Sim;21,0500;50081,11;-0,3500;-1,64;-832,70;40kg;4 dias úteis;90 dias;DECIDIDO;Fechar basf.;21/03/2026
MP0041;BHT;231,48;4,7400;ANASTACIO;SP;Sim;4,8700;1127,31;0,1300;2,74;30,09;20/25;12 dias;120;DECIDIDO;;21/03/2026
MP0006;HIDROXIETILCELULOSE;8713,09;7,6700;KHOL QUIMICA;ES;Sim;7,2500;63169,90;-0,4200;-5,48;-3659,50;25;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;Homologar Maian. Fechar Khol.;21/03/2026
MP0007;OLEO DE COCO;4294,89;2,4000;KHOL QUIMICA2;ES;Sim;2,1000;9019,27;-0,3000;-12,50;-1288,47;50;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0008;WAVEMAX;6669,06;19,6300;CHEMYUNION;ES;Sim;19,6300;130913,65;0,0000;0,00;0,00;20;3 dias;45 dias;DECIDIDO;;21/03/2026
MP0010;ACIDO CAPRICO CAPRILICO / PURIT TCM;30902,49;5,8000;KHOL QUIMICA2;ES;Sim;5,5000;169963,70;-0,3000;-5,17;-9270,75;155;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0014;GLASIK 700 - POLIQUATERNIUM 7;50530,44;0,9100;ANASTACIO2;ES;Sim;1,0200;51541,05;0,1100;12,09;5558,35;200;12 dias;20;DECIDIDO;Homologar Khol e Chemax. Tentar SPOT com Anastacio.;21/03/2026
MP0015;ALCOOL CETO ESTERAILICO C16 C18 S;194308,62;2,6300;ALPHA QUIMICA2;ES;Não;2,3500;456625,26;-0,2800;-10,65;-54406,41;2000;5;30;DECIDIDO;;21/03/2026
MP0016;EXTRATO DE BURITI;305,94;4,9600;PHYTOVITAL;SP;Sim;4,5000;1376,73;-0,4600;-9,27;-140,73;5;;;DECIDIDO;;21/03/2026
MP0017;MISTURA DE IZOTIAZOLINONA;540,39;0,9700;THOR2;SP;Sim;0,8800;475,54;-0,0900;-9,28;-48,64;25;7;90-110;DECIDIDO;;21/03/2026
MP0018;OLEO DE SEMENTE DE UVA (ÓLEO VEGETAL DE SEMENTE DE UVA);5209,59;4,3400;PHYTOVITAL;;Sim;4,3400;22609,62;0,0000;0,00;0,00;;;;DECIDIDO;Homologar Khol;21/03/2026
MP0019;MANTEIGA DE MURUMURU;3584,64;8,7100;PHYTOVITAL;SP;Sim;8,5000;30469,44;-0,2100;-2,41;-752,77;4;;;DECIDIDO;Homologar Khol.;21/03/2026
MP0020;MANTEIGA DE CACAU;2550,34;7,7400;PHYTOVITAL;;Sim;7,7400;19739,63;0,0000;0,00;0,00;;;;DECIDIDO;Homologar Khol;21/03/2026
MP0022;GOMA GUAR QUATERNIZADA / JAGUAR C-13S;3022,09;11,5000;UNIVAR;ES;Sim;11,5000;34754,04;0,0000;0,00;0,00;25;30;60;DECIDIDO;Homologar Khol;21/03/2026
MP0023;MANTEIGA DE KARITE;3553,43;4,5400;AQIA;ES;Sim;4,8300;17163,07;0,2900;6,39;1030,49;;;;DECIDIDO;Homologar Khol.;21/03/2026
MP0024;VPQ 108 GL / VIC 108 GL;357,27;9,1500;KHOL QUIMICA2;ES;Sim;7,8200;2793,85;-1,3300;-14,54;-475,17;25;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0025;POLIMERO W-25 (POLIPLUS 90);6363,93;2,2000;KHOL QUIMICA2;ES;Sim;1,8600;11836,91;-0,3400;-15,45;-2163,74;50;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0026;EXTRATO DE ALOE VERA (EXTRATO GLICOLICO DE ALOE VERA);567,44;3,3900;PHYTOVITAL;;Sim;3,3900;1923,62;0,0000;0,00;0,00;;;;DECIDIDO;;21/03/2026
MP0027;AMIDA 90;14556,36;2,6300;CHEMAX;ES;Sim;2,4000;34935,26;-0,2300;-8,75;-3347,96;50;2;;DECIDIDO;Homologar Maian e Baruquimica;21/03/2026
MP0028;MERQUAT PLUS 3330;2021,96;2,3000;KHOL QUIMICA2;ES;Sim;1,9900;4023,70;-0,3100;-13,48;-626,81;5;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0029;ARLYPON TT;760,50;18,9500;BASF;SP;Sim;15,6800;11924,64;-3,2700;-17,26;-2486,83;205kg;4 dias úteis;90 dias;DECIDIDO;;21/03/2026
MP0030;REWOPOL SB FA 30 B;24013,06;1,2000;AQIA;;Não;1,2000;28815,67;0,0000;0,00;0,00;;;;DECIDIDO;Homologar AQIA;21/03/2026
MP0031;CARBOPOL AQUA/ RHEOCARE TTA;13504,76;3,3900;SARFAM;;Sim;3,3900;45781,14;0,0000;0,00;0,00;;;;DECIDIDO;;21/03/2026
MP0032;HIDROXIDO DE SODIO;194,50;7,7900;Oxigen;ES;Não;0,6031;117,30;-7,1869;-92,26;-1397,86;;IMEDIATO;5 DIAS;DECIDIDO;Homologar Oxigen e Khol;21/03/2026
MP0033;COCOAMIDOPROPIL BETAINA;39828,50;1,0100;CHEMAX;ES;Sim;0,9400;37438,79;-0,0700;-6,93;-2788,00;150;2;;DECIDIDO;;21/03/2026
MP0034;PLANTAREM 1200 / ECOSENSE 1200;2539,75;2,0600;KHOL QUIMICA;;Sim;2,0600;5231,89;0,0000;0,00;0,00;;;;DECIDIDO;;21/03/2026
MP0035;QUIKPEARL PK3;4276,38;1,5100;KHOL QUIMICA;ES;Sim;2,4300;10391,60;0,9200;60,93;3934,27;30;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;Homologar Chemax URGENTE!;21/03/2026
MP0036;D PANTENOL (D PANTENOL 75%);1194,05;8,3000;KHOL QUIMICA2;ES;Sim;6,7200;8024,02;-1,5800;-19,04;-1886,60;5;2 DIAS ÚTEIS;10 DIAS UTEIS;DECIDIDO;;21/03/2026
MP0037;METHILAN 6000 DS (MYRJ 6000);1459,64;5,2000;AQIA;ES;Sim;4,0900;5969,93;-1,1100;-21,35;-1620,20;20kg;;;DECIDIDO;;21/03/2026
MP0042;ALCOOL CETILICO;1789,01;2,8500;ANASTACIO;SP;Sim;2,9800;5331,25;0,1300;4,56;232,57;150;12 dias;130;DECIDIDO;;21/03/2026
MP0011;PROPILENO GLICOL USP;33493,45;1,4900;BARUQUIMICA;ES;Sim;1,7700;59283,41;0,2800;18,79;9378,17;;;3 dias úteis;DECIDIDO;Baru é o plano A, mas vamos tentar SPOT com a Anastacio.;21/03/2026
